"Quel décorateur est utilisé pour définir une classe comme composant Angular ?","@Component","@Directive","@NgModule"
"Quelle fonction Angular permet de créer un service ?","ng generate service","ng create service","ng start service"
"Comment sont appelées les applications Angular qui peuvent être chargées sur demande ?","Lazy loaded","Eager loaded","Async loaded"
"Quel objet est utilisé pour gérer la navigation dans Angular ?","Router","Navigator","Switcher"
"Quelle commande est utilisée pour lancer un serveur de développement Angular ?","ng serve","ng start","ng run"
"Quel est le fichier principal de configuration pour Angular ?","angular.json","config.angular.json","angular.config.json"
"Quel est le fichier de style principal pour un nouveau projet Angular ?","styles.css","style.css","angular.css"
"Quel type de data binding Angular utilise la syntaxe [property]=\"value\" ?","Property Binding","Event Binding","Two-way Binding"
"Quelle annotation Spring est utilisée pour annoter un contrôleur REST ?","@RestController","@Controller","@Service"
"Quelle est la dépendance Maven pour inclure Spring Boot dans un projet ?","spring-boot-starter","spring-boot-dependency","spring-boot-modules"
"Quel est le fichier principal de configuration pour Spring Boot ?","application.properties ou application.yml","spring-config.xml","boot.properties"
"Quelle annotation est utilisée pour injecter des dépendances dans Spring ?","@Autowired","@Inject","@Dependency"
"Quelle annotation Spring Boot permet de planifier une tâche régulière ?","@Scheduled","@EnableScheduling","@Cron"
"Quel outil est utilisé par Spring Boot pour gérer les bases de données relationnelles ?","Spring Data JPA","Spring JDBC","Spring Data MongoDB"
"Quel est le port par défaut pour une application Spring Boot ?","8080","8000","3000"
"Quelle commande permet de générer un projet Spring Boot via Spring Initializr en ligne de commande ?","spring init","spring start","spring boot"
"Quel framework est intégré à Spring pour fournir des fonctionnalités de sécurité ?","Spring Security","Spring Shield","Spring Safe"
"Quelle classe dans Spring permet de gérer les transactions de base de données ?","PlatformTransactionManager","TransactionController","DataManager"
"Quelle annotation permet d'indiquer qu'une méthode produit un JSON dans Spring Boot ?","@ResponseBody","@ResponseEntity","@JsonOutput"
"Comment Angular gère-t-il la communication bidirectionnelle entre les composants ?","ngModel","{{}}","[()]"